16,4,1,0,0.595730,"(4, 1)"
16,4,1,1,0.584604,"(4, 1)"
256,4,1,0,0.829479,"(4, 1)"
256,4,1,1,0.792684,"(4, 1)"
2048,4,1,0,3.247543,"(4, 1)"
2048,4,1,1,2.375635,"(4, 1)"
16,32,8,0,2.402097,"(32, 8)"
16,32,8,1,2.469320,"(32, 8)"
256,32,8,0,1.375114,"(32, 8)"
256,32,8,1,1.765733,"(32, 8)"
2048,32,8,0,2.664576,"(32, 8)"
2048,32,8,1,1.927332,"(32, 8)"
16,16,1,0,0.216696,"(16, 1)"
16,16,1,1,0.107483,"(16, 1)"
256,16,1,0,0.408025,"(16, 1)"
256,16,1,1,0.499487,"(16, 1)"
2048,16,1,0,1.303749,"(16, 1)"
2048,16,1,1,1.835555,"(16, 1)"
16,128,8,0,1.233362,"(128, 8)"
16,128,8,1,1.268788,"(128, 8)"
256,128,8,0,2.795431,"(128, 8)"
256,128,8,1,2.344316,"(128, 8)"
2048,128,8,0,3.146985,"(128, 8)"
2048,128,8,1,10.268118,"(128, 8)"
16,4,1,0,0.016646,"(4, 1)"
16,4,1,1,0.120588,"(4, 1)"
256,4,1,0,0.730005,"(4, 1)"
256,4,1,1,0.714221,"(4, 1)"
2048,4,1,0,3.246482,"(4, 1)"
2048,4,1,1,0.483522,"(4, 1)"
16,32,8,0,1.051438,"(32, 8)"
16,32,8,1,1.050183,"(32, 8)"
256,32,8,0,1.377330,"(32, 8)"
256,32,8,1,2.511889,"(32, 8)"
2048,32,8,0,5.067703,"(32, 8)"
2048,32,8,1,3.749370,"(32, 8)"
16,16,1,0,0.756176,"(16, 1)"
16,16,1,1,0.709948,"(16, 1)"
256,16,1,0,0.753818,"(16, 1)"
256,16,1,1,0.694251,"(16, 1)"
2048,16,1,0,3.247775,"(16, 1)"
2048,16,1,1,2.974796,"(16, 1)"
16,128,8,0,0.976936,"(128, 8)"
16,128,8,1,0.847464,"(128, 8)"
256,128,8,0,1.742956,"(128, 8)"
256,128,8,1,1.582554,"(128, 8)"
2048,128,8,0,5.392106,"(128, 8)"
2048,128,8,1,7.544720,"(128, 8)"
16,4,1,0,0.497991,"(4, 1)"
16,4,1,1,0.415429,"(4, 1)"
256,4,1,0,0.901796,"(4, 1)"
256,4,1,1,4.811925,"(4, 1)"
2048,4,1,0,1.923113,"(4, 1)"
2048,4,1,1,2.907402,"(4, 1)"
16,32,8,0,0.902840,"(32, 8)"
16,32,8,1,0.896045,"(32, 8)"
256,32,8,0,1.483691,"(32, 8)"
256,32,8,1,1.739320,"(32, 8)"
2048,32,8,0,4.599185,"(32, 8)"
2048,32,8,1,3.659528,"(32, 8)"
16,16,1,0,0.484707,"(16, 1)"
16,16,1,1,0.436169,"(16, 1)"
256,16,1,0,0.743266,"(16, 1)"
256,16,1,1,0.863721,"(16, 1)"
2048,16,1,0,8.361075,"(16, 1)"
2048,16,1,1,6.893046,"(16, 1)"
16,128,8,0,1.020850,"(128, 8)"
16,128,8,1,0.870232,"(128, 8)"
256,128,8,0,1.663014,"(128, 8)"
256,128,8,1,1.580317,"(128, 8)"
2048,128,8,0,6.824642,"(128, 8)"
2048,128,8,1,14.351792,"(128, 8)"
16,4,1,0,0.294301,"(4, 1)"
16,4,1,1,0.311310,"(4, 1)"
256,4,1,0,2.872525,"(4, 1)"
256,4,1,1,0.929791,"(4, 1)"
2048,4,1,0,2.880604,"(4, 1)"
2048,4,1,1,6.290863,"(4, 1)"
16,32,8,0,0.994708,"(32, 8)"
16,32,8,1,0.767627,"(32, 8)"
256,32,8,0,0.926553,"(32, 8)"
256,32,8,1,0.894871,"(32, 8)"
2048,32,8,0,4.880490,"(32, 8)"
2048,32,8,1,8.094026,"(32, 8)"
16,16,1,0,0.335397,"(16, 1)"
16,16,1,1,0.368158,"(16, 1)"
256,16,1,0,0.603977,"(16, 1)"
256,16,1,1,0.546117,"(16, 1)"
2048,16,1,0,1.792818,"(16, 1)"
2048,16,1,1,1.355446,"(16, 1)"
16,128,8,0,3.545018,"(128, 8)"
16,128,8,1,3.419496,"(128, 8)"
256,128,8,0,4.673189,"(128, 8)"
256,128,8,1,8.215268,"(128, 8)"
2048,128,8,0,10.453214,"(128, 8)"
2048,128,8,1,12.588883,"(128, 8)"
16,4,1,0,0.082602,"(4, 1)"
16,4,1,1,0.080838,"(4, 1)"
256,4,1,0,0.328588,"(4, 1)"
256,4,1,1,0.329654,"(4, 1)"
2048,4,1,0,2.017089,"(4, 1)"
2048,4,1,1,2.868649,"(4, 1)"
16,32,8,0,0.678626,"(32, 8)"
16,32,8,1,0.603170,"(32, 8)"
256,32,8,0,1.722929,"(32, 8)"
256,32,8,1,1.844674,"(32, 8)"
2048,32,8,0,3.734802,"(32, 8)"
2048,32,8,1,3.412064,"(32, 8)"
16,16,1,0,1.003555,"(16, 1)"
16,16,1,1,1.006121,"(16, 1)"
256,16,1,0,0.872078,"(16, 1)"
256,16,1,1,0.761270,"(16, 1)"
2048,16,1,0,1.819641,"(16, 1)"
2048,16,1,1,1.715795,"(16, 1)"
16,128,8,0,1.380038,"(128, 8)"
16,128,8,1,1.177988,"(128, 8)"
256,128,8,0,1.510300,"(128, 8)"
256,128,8,1,1.529108,"(128, 8)"
2048,128,8,0,3.437863,"(128, 8)"
2048,128,8,1,8.122747,"(128, 8)"
16,4,1,0,0.339740,"(4, 1)"
16,4,1,1,0.318972,"(4, 1)"
256,4,1,0,1.791719,"(4, 1)"
256,4,1,1,1.260038,"(4, 1)"
2048,4,1,0,1.960742,"(4, 1)"
2048,4,1,1,2.995716,"(4, 1)"
16,32,8,0,0.746258,"(32, 8)"
16,32,8,1,0.761171,"(32, 8)"
256,32,8,0,1.206475,"(32, 8)"
256,32,8,1,1.242851,"(32, 8)"
2048,32,8,0,5.645378,"(32, 8)"
2048,32,8,1,10.376097,"(32, 8)"
16,16,1,0,0.767456,"(16, 1)"
16,16,1,1,0.514610,"(16, 1)"
256,16,1,0,0.978049,"(16, 1)"
256,16,1,1,1.014409,"(16, 1)"
2048,16,1,0,10.828321,"(16, 1)"
2048,16,1,1,1.159911,"(16, 1)"
16,128,8,0,0.770339,"(128, 8)"
16,128,8,1,0.648959,"(128, 8)"
256,128,8,0,1.061413,"(128, 8)"
256,128,8,1,1.049766,"(128, 8)"
2048,128,8,0,2.864413,"(128, 8)"
2048,128,8,1,3.956096,"(128, 8)"
16,4,1,0,0.070079,"(4, 1)"
16,4,1,1,0.076978,"(4, 1)"
256,4,1,0,0.124609,"(4, 1)"
256,4,1,1,0.131205,"(4, 1)"
2048,4,1,0,0.338224,"(4, 1)"
2048,4,1,1,1.773523,"(4, 1)"
16,32,8,0,0.605753,"(32, 8)"
16,32,8,1,0.564943,"(32, 8)"
256,32,8,0,1.129679,"(32, 8)"
256,32,8,1,0.890067,"(32, 8)"
2048,32,8,0,2.657048,"(32, 8)"
2048,32,8,1,1.758185,"(32, 8)"
16,16,1,0,0.282977,"(16, 1)"
16,16,1,1,0.372255,"(16, 1)"
256,16,1,0,0.500566,"(16, 1)"
256,16,1,1,0.430108,"(16, 1)"
2048,16,1,0,1.356845,"(16, 1)"
2048,16,1,1,1.109158,"(16, 1)"
16,128,8,0,1.461860,"(128, 8)"
16,128,8,1,0.861266,"(128, 8)"
256,128,8,0,1.618601,"(128, 8)"
256,128,8,1,1.875419,"(128, 8)"
2048,128,8,0,4.827695,"(128, 8)"
2048,128,8,1,5.555113,"(128, 8)"
16,4,1,0,0.039974,"(4, 1)"
16,4,1,1,0.026028,"(4, 1)"
256,4,1,0,0.250615,"(4, 1)"
256,4,1,1,0.131114,"(4, 1)"
2048,4,1,0,0.557891,"(4, 1)"
2048,4,1,1,0.605650,"(4, 1)"
16,32,8,0,0.403826,"(32, 8)"
16,32,8,1,0.388777,"(32, 8)"
256,32,8,0,0.613230,"(32, 8)"
256,32,8,1,0.839340,"(32, 8)"
2048,32,8,0,7.888934,"(32, 8)"
2048,32,8,1,3.872324,"(32, 8)"
16,16,1,0,0.268897,"(16, 1)"
16,16,1,1,0.216503,"(16, 1)"
256,16,1,0,1.228350,"(16, 1)"
256,16,1,1,0.604393,"(16, 1)"
2048,16,1,0,3.701897,"(16, 1)"
2048,16,1,1,6.526431,"(16, 1)"
16,128,8,0,0.760598,"(128, 8)"
16,128,8,1,0.716685,"(128, 8)"
256,128,8,0,3.298804,"(128, 8)"
256,128,8,1,2.718513,"(128, 8)"
2048,128,8,0,2.626108,"(128, 8)"
2048,128,8,1,3.329828,"(128, 8)"
16,4,1,0,0.290778,"(4, 1)"
16,4,1,1,0.434915,"(4, 1)"
256,4,1,0,2.591488,"(4, 1)"
256,4,1,1,0.878684,"(4, 1)"
2048,4,1,0,9.597590,"(4, 1)"
2048,4,1,1,8.383163,"(4, 1)"
16,32,8,0,1.133253,"(32, 8)"
16,32,8,1,1.139759,"(32, 8)"
256,32,8,0,1.120287,"(32, 8)"
256,32,8,1,1.072696,"(32, 8)"
2048,32,8,0,9.783354,"(32, 8)"
2048,32,8,1,3.382373,"(32, 8)"
16,16,1,0,0.171803,"(16, 1)"
16,16,1,1,0.181385,"(16, 1)"
256,16,1,0,0.221163,"(16, 1)"
256,16,1,1,0.259372,"(16, 1)"
2048,16,1,0,0.984459,"(16, 1)"
2048,16,1,1,2.362866,"(16, 1)"
16,128,8,0,0.544907,"(128, 8)"
16,128,8,1,0.419000,"(128, 8)"
256,128,8,0,1.048005,"(128, 8)"
256,128,8,1,0.907113,"(128, 8)"
2048,128,8,0,2.417926,"(128, 8)"
2048,128,8,1,3.485755,"(128, 8)"
16,4,1,0,0.193489,"(4, 1)"
16,4,1,1,0.186900,"(4, 1)"
256,4,1,0,0.241104,"(4, 1)"
256,4,1,1,0.207127,"(4, 1)"
2048,4,1,0,2.424011,"(4, 1)"
2048,4,1,1,0.963682,"(4, 1)"
16,32,8,0,0.482684,"(32, 8)"
16,32,8,1,0.447464,"(32, 8)"
256,32,8,0,0.795051,"(32, 8)"
256,32,8,1,1.321803,"(32, 8)"
2048,32,8,0,4.178158,"(32, 8)"
2048,32,8,1,3.431979,"(32, 8)"
16,16,1,0,1.952174,"(16, 1)"
16,16,1,1,1.504236,"(16, 1)"
256,16,1,0,0.229339,"(16, 1)"
256,16,1,1,0.315043,"(16, 1)"
2048,16,1,0,1.069910,"(16, 1)"
2048,16,1,1,0.803363,"(16, 1)"
16,128,8,0,1.050855,"(128, 8)"
16,128,8,1,1.105553,"(128, 8)"
256,128,8,0,2.875445,"(128, 8)"
256,128,8,1,2.139583,"(128, 8)"
2048,128,8,0,2.354765,"(128, 8)"
2048,128,8,1,3.398694,"(128, 8)"
