16,4,1,0,0.056244,"(4, 1)"
16,4,1,1,0.054711,"(4, 1)"
256,4,1,0,0.046398,"(4, 1)"
256,4,1,1,0.161651,"(4, 1)"
2048,4,1,0,13.589088,"(4, 1)"
2048,4,1,1,5.735583,"(4, 1)"
16,32,8,0,0.515722,"(32, 8)"
16,32,8,1,0.807728,"(32, 8)"
256,32,8,0,2.451835,"(32, 8)"
256,32,8,1,1.138754,"(32, 8)"
2048,32,8,0,23.528031,"(32, 8)"
2048,32,8,1,6.086596,"(32, 8)"
16,16,1,0,0.533451,"(16, 1)"
16,16,1,1,0.370589,"(16, 1)"
256,16,1,0,1.489370,"(16, 1)"
256,16,1,1,1.768004,"(16, 1)"
2048,16,1,0,2.006538,"(16, 1)"
2048,16,1,1,1.853563,"(16, 1)"
16,128,8,0,2.089113,"(128, 8)"
16,128,8,1,3.880584,"(128, 8)"
256,128,8,0,30.663622,"(128, 8)"
256,128,8,1,15.181171,"(128, 8)"
2048,128,8,0,46.180709,"(128, 8)"
2048,128,8,1,7.632644,"(128, 8)"
16,4,1,0,0.040800,"(4, 1)"
16,4,1,1,0.039696,"(4, 1)"
256,4,1,0,0.046076,"(4, 1)"
256,4,1,1,0.193001,"(4, 1)"
2048,4,1,0,0.334649,"(4, 1)"
2048,4,1,1,0.615134,"(4, 1)"
16,32,8,0,0.504226,"(32, 8)"
16,32,8,1,0.438035,"(32, 8)"
256,32,8,0,1.115483,"(32, 8)"
256,32,8,1,0.899495,"(32, 8)"
2048,32,8,0,7.479826,"(32, 8)"
2048,32,8,1,3.028990,"(32, 8)"
16,16,1,0,0.665989,"(16, 1)"
16,16,1,1,0.287059,"(16, 1)"
256,16,1,0,0.823160,"(16, 1)"
256,16,1,1,0.678982,"(16, 1)"
2048,16,1,0,6.078537,"(16, 1)"
2048,16,1,1,1.688223,"(16, 1)"
16,128,8,0,14.388319,"(128, 8)"
16,128,8,1,4.216212,"(128, 8)"
256,128,8,0,4.230027,"(128, 8)"
256,128,8,1,10.579648,"(128, 8)"
2048,128,8,0,36.987006,"(128, 8)"
2048,128,8,1,7.086405,"(128, 8)"
16,4,1,0,0.051460,"(4, 1)"
16,4,1,1,0.034311,"(4, 1)"
256,4,1,0,0.030308,"(4, 1)"
256,4,1,1,0.093587,"(4, 1)"
2048,4,1,0,0.149465,"(4, 1)"
2048,4,1,1,0.497127,"(4, 1)"
16,32,8,0,0.557337,"(32, 8)"
16,32,8,1,0.626941,"(32, 8)"
256,32,8,0,0.576032,"(32, 8)"
256,32,8,1,0.809063,"(32, 8)"
2048,32,8,0,7.964704,"(32, 8)"
2048,32,8,1,4.069712,"(32, 8)"
16,16,1,0,0.127908,"(16, 1)"
16,16,1,1,0.266947,"(16, 1)"
256,16,1,0,0.394722,"(16, 1)"
256,16,1,1,0.403514,"(16, 1)"
2048,16,1,0,1.529078,"(16, 1)"
2048,16,1,1,1.683577,"(16, 1)"
16,128,8,0,0.971537,"(128, 8)"
16,128,8,1,2.323390,"(128, 8)"
256,128,8,0,11.981241,"(128, 8)"
256,128,8,1,3.500522,"(128, 8)"
2048,128,8,0,41.425989,"(128, 8)"
2048,128,8,1,15.275464,"(128, 8)"
16,4,1,0,0.814438,"(4, 1)"
16,4,1,1,0.238043,"(4, 1)"
256,4,1,0,0.167115,"(4, 1)"
256,4,1,1,0.383980,"(4, 1)"
2048,4,1,0,2.952344,"(4, 1)"
2048,4,1,1,4.686781,"(4, 1)"
16,32,8,0,0.790852,"(32, 8)"
16,32,8,1,0.868387,"(32, 8)"
256,32,8,0,1.235329,"(32, 8)"
256,32,8,1,2.134701,"(32, 8)"
2048,32,8,0,5.639230,"(32, 8)"
2048,32,8,1,10.246843,"(32, 8)"
16,16,1,0,0.895445,"(16, 1)"
16,16,1,1,0.535149,"(16, 1)"
16,16,1,0,0.486729,"(16, 1)"
16,16,1,1,0.575582,"(16, 1)"
256,16,1,0,1.411862,"(16, 1)"
256,16,1,1,2.013313,"(16, 1)"
16,128,8,0,0.695754,"(128, 8)"
16,128,8,1,2.014504,"(128, 8)"
256,128,8,0,4.595995,"(128, 8)"
256,128,8,1,5.250773,"(128, 8)"
2048,128,8,0,17.221613,"(128, 8)"
2048,128,8,1,5.449526,"(128, 8)"
16,4,1,0,1.144339,"(4, 1)"
16,4,1,1,0.825233,"(4, 1)"
256,4,1,0,25.624032,"(4, 1)"
256,4,1,1,4.986847,"(4, 1)"
2048,4,1,0,0.254391,"(4, 1)"
2048,4,1,1,0.385495,"(4, 1)"
16,32,8,0,0.824805,"(32, 8)"
16,32,8,1,0.785975,"(32, 8)"
256,32,8,0,3.883621,"(32, 8)"
256,32,8,1,2.238069,"(32, 8)"
2048,32,8,0,4.290947,"(32, 8)"
2048,32,8,1,5.788633,"(32, 8)"
16,16,1,0,0.664615,"(16, 1)"
16,16,1,1,0.452341,"(16, 1)"
16,16,1,0,0.488729,"(16, 1)"
16,16,1,1,0.985137,"(16, 1)"
256,16,1,0,1.956248,"(16, 1)"
256,16,1,1,2.002349,"(16, 1)"
16,128,8,0,2.556555,"(128, 8)"
16,128,8,1,3.352410,"(128, 8)"
256,128,8,0,4.881811,"(128, 8)"
256,128,8,1,2.467791,"(128, 8)"
2048,128,8,0,38.667660,"(128, 8)"
2048,128,8,1,6.024025,"(128, 8)"
16,4,1,0,0.838676,"(4, 1)"
16,4,1,1,0.495770,"(4, 1)"
256,4,1,0,0.164861,"(4, 1)"
256,4,1,1,0.447226,"(4, 1)"
2048,4,1,0,6.087142,"(4, 1)"
2048,4,1,1,3.085151,"(4, 1)"
16,32,8,0,6.023331,"(32, 8)"
16,32,8,1,2.874910,"(32, 8)"
256,32,8,0,5.797322,"(32, 8)"
256,32,8,1,6.304459,"(32, 8)"
2048,32,8,0,1.831563,"(32, 8)"
2048,32,8,1,3.355211,"(32, 8)"
16,16,1,0,0.525055,"(16, 1)"
16,16,1,1,0.251929,"(16, 1)"
256,16,1,0,0.383009,"(16, 1)"
256,16,1,1,0.604648,"(16, 1)"
2048,16,1,0,0.942562,"(16, 1)"
2048,16,1,1,1.767897,"(16, 1)"
16,128,8,0,1.337823,"(128, 8)"
16,128,8,1,2.979986,"(128, 8)"
256,128,8,0,5.252191,"(128, 8)"
256,128,8,1,4.337468,"(128, 8)"
2048,128,8,0,18.485687,"(128, 8)"
2048,128,8,1,14.907989,"(128, 8)"
16,4,1,0,0.083595,"(4, 1)"
16,4,1,1,0.099693,"(4, 1)"
256,4,1,0,0.053082,"(4, 1)"
256,4,1,1,0.227284,"(4, 1)"
2048,4,1,0,0.674791,"(4, 1)"
2048,4,1,1,1.209859,"(4, 1)"
16,32,8,0,0.307581,"(32, 8)"
16,32,8,1,0.793348,"(32, 8)"
256,32,8,0,0.845226,"(32, 8)"
256,32,8,1,1.147419,"(32, 8)"
2048,32,8,0,1.154464,"(32, 8)"
2048,32,8,1,3.455503,"(32, 8)"
16,16,1,0,0.124933,"(16, 1)"
16,16,1,1,0.583910,"(16, 1)"
256,16,1,0,0.887265,"(16, 1)"
256,16,1,1,0.609511,"(16, 1)"
2048,16,1,0,0.738628,"(16, 1)"
2048,16,1,1,1.007804,"(16, 1)"
16,128,8,0,9.382629,"(128, 8)"
16,128,8,1,2.284248,"(128, 8)"
256,128,8,0,4.637260,"(128, 8)"
256,128,8,1,4.723837,"(128, 8)"
2048,128,8,0,10.404069,"(128, 8)"
2048,128,8,1,16.108726,"(128, 8)"
16,4,1,0,0.067130,"(4, 1)"
16,4,1,1,0.204172,"(4, 1)"
256,4,1,0,0.371734,"(4, 1)"
256,4,1,1,0.638592,"(4, 1)"
2048,4,1,0,0.612729,"(4, 1)"
2048,4,1,1,1.576174,"(4, 1)"
